num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,imdb_score,genre
723,178,760505847,Action,Avatar ,886204,avatar|future|marine|native|paraplegic,3054,USA,PG-13,237000000,2009,7.9,Action
302,169,309404152,Action,Pirates of the Caribbean: At World's End ,471220,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238,USA,PG-13,300000000,2007,7.1,Action
602,148,200074175,Action,Spectre ,275868,bomb|espionage|sequel|spy|terrorist,994,UK,PG-13,245000000,2015,6.8,Action
813,164,448130642,Action,The Dark Knight Rises ,1144337,deception|imprisonment|lawlessness|police officer|terrorist plot,2701,USA,PG-13,250000000,2012,8.5,Action
0,0,0,Documentary,Star Wars: Episode VII - The Force Awakens             ,8,0,0,0,0,0,0,7.1,Action
462,132,73058679,Action,John Carter ,212204,alien|american civil war|male nipple|mars|princess,738,USA,PG-13,263700000,2012,6.6,Action
392,156,336530303,Action,Spider-Man 3 ,383056,sandman|spider man|symbiote|venom|villain,1902,USA,PG-13,258000000,2007,6.2,Action
324,100,200807262,Adventure,Tangled ,294810,17th century|based on fairy tale|disney|flower|tower,387,USA,PG,260000000,2010,7.8,Action
635,141,458991599,Action,Avengers: Age of Ultron ,462669,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117,USA,PG-13,250000000,2015,7.5,Action
375,153,301956980,Adventure,Harry Potter and the Half-Blood Prince ,321795,blood|book|love|potion|professor,973,UK,PG,250000000,2009,7.5,Action
673,183,330249062,Action,Batman v Superman: Dawn of Justice ,371639,based on comic book|batman|sequel to a reboot|superhero|superman,3018,USA,PG-13,250000000,2016,6.9,Action
434,169,200069408,Action,Superman Returns ,240396,crystal|epic|lex luthor|lois lane|return to earth,2367,USA,PG-13,209000000,2006,6.1,Action
403,106,168368427,Action,Quantum of Solace ,330784,action hero|attempted rape|bond girl|official james bond series|revenge,1243,UK,PG-13,200000000,2008,6.7,Action
313,151,423032628,Action,Pirates of the Caribbean: Dead Man's Chest ,522040,box office hit|giant squid|heart|liar's dice|monster,1832,USA,PG-13,225000000,2006,7.3,Action
450,150,89289910,Action,The Lone Ranger ,181792,horse|outlaw|texas|texas ranger|train,711,USA,PG-13,215000000,2013,6.5,Action
733,143,291021565,Action,Man of Steel ,548573,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536,USA,PG-13,225000000,2013,7.2,Action
258,150,141614023,Action,The Chronicles of Narnia: Prince Caspian ,149922,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438,USA,PG,225000000,2008,6.6,Action
703,173,623279547,Action,The Avengers ,995415,alien invasion|assassin|battle|iron man|soldier,1722,USA,PG-13,220000000,2012,8.1,Action
448,136,241063875,Action,Pirates of the Caribbean: On Stranger Tides ,370704,blackbeard|captain|pirate|revenge|soldier,484,USA,PG-13,250000000,2011,6.7,Action
451,106,179020854,Action,Men in Black 3 ,268154,alien|criminal|m.i.b.|maximum security prison|prison,341,USA,PG-13,225000000,2012,6.8,Action
422,164,255108370,Adventure,The Hobbit: The Battle of the Five Armies ,354228,army|elf|hobbit|middle earth|orc,802,New Zealand,PG-13,250000000,2014,7.5,Action
599,153,262030663,Action,The Amazing Spider-Man ,451803,lizard|outcast|spider|spider man|teenager,1225,USA,PG-13,230000000,2012,7.0,Action
343,156,105219735,Action,Robin Hood ,211765,1190s|archer|england|king of england|robin hood,546,USA,PG-13,200000000,2010,6.7,Action
509,186,258355354,Adventure,The Hobbit: The Desolation of Smaug ,483540,dwarf|elf|lake town|mountain|sword and sorcery,951,USA,PG-13,225000000,2013,7.9,Action
251,113,70083519,Adventure,The Golden Compass ,149019,children|epic|friend|girl|quest,666,USA,PG-13,180000000,2007,6.1,Action
446,201,218051260,Action,King Kong ,316018,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,New Zealand,PG-13,207000000,2005,7.2,Action
315,194,658672302,Drama,Titanic ,793059,artist|love|ship|titanic|wet,2528,USA,PG-13,200000000,1997,7.7,Action
516,147,407197282,Action,Captain America: Civil War ,272670,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,1022,USA,PG-13,250000000,2016,8.2,Action
377,131,65173160,Action,Battleship ,202382,box office flop|hawaii|naval|oahu hawaii|ship,751,USA,PG-13,209000000,2012,5.9,Action
644,124,652177271,Action,Jurassic World ,418214,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,1290,USA,PG-13,150000000,2015,7.0,Action
750,143,304360277,Action,Skyfall ,522030,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,UK,PG-13,200000000,2012,7.8,Action
300,135,373377893,Action,Spider-Man 2 ,411164,death|doctor|scientist|super villain|tentacle,1303,USA,PG-13,200000000,2004,7.3,Action
608,195,408992272,Action,Iron Man 3 ,557489,armor|explosion|human bomb|missile attack|terrorist,1187,USA,PG-13,200000000,2013,7.2,Action
451,108,334185206,Adventure,Alice in Wonderland ,306320,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736,USA,PG,200000000,2010,6.5,Action
334,104,234360014,Action,X-Men: The Last Stand ,383427,battle|mutant|outrage|walking through a wall|x men,1912,Canada,PG-13,210000000,2006,6.8,Action
376,104,268488329,Adventure,Monsters University ,235025,cheating|fraternity|monster|singing in a car|university,265,USA,G,200000000,2013,7.3,Action
366,150,402076689,Action,Transformers: Revenge of the Fallen ,323207,autobot|decepticon|machine|sun|symbol,1439,USA,PG-13,200000000,2009,6.0,Action
378,165,245428137,Action,Transformers: Age of Extinction ,242420,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,918,USA,PG-13,210000000,2014,5.7,Action
525,130,234903076,Adventure,Oz the Great and Powerful ,175409,circus|magic|magician|oz|witch,511,USA,PG,215000000,2013,6.4,Action
495,142,202853933,Action,The Amazing Spider-Man 2 ,321227,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,1067,USA,PG-13,200000000,2014,6.7,Action
469,125,172051787,Action,TRON: Legacy ,264183,arcade|bridge|disappearance|escape|warrior,665,USA,PG,170000000,2010,6.8,Action
304,106,191450875,Adventure,Cars 2 ,101178,best friend|car race|conspiracy|gadget car|spy,283,USA,G,200000000,2011,6.3,Action
436,123,116593191,Action,Green Lantern ,223393,autopsy|lantern|planet|ring|test pilot,550,USA,PG-13,200000000,2011,5.6,Action
453,103,414984497,Adventure,Toy Story 3 ,544884,college|day care|escape|teddy bear|toy,733,USA,G,200000000,2010,8.3,Action
422,118,125320003,Action,Terminator Salvation ,286095,death row|future|machine|rescue|skynet,974,USA,PG-13,200000000,2009,6.6,Action
424,140,350034110,Action,Furious 7 ,278232,car falling off a cliff|hospital|revenge|star died before release|terrorist,657,USA,PG-13,190000000,2015,7.2,Action
654,123,202351611,Action,World War Z ,465019,chaos|disease|infection|pandemic|zombie,995,USA,PG-13,190000000,2013,7.0,Action
539,149,233914986,Action,X-Men: Days of Future Past ,514125,dystopia|super strength|supernatural power|time paradox|time travel,752,USA,PG-13,200000000,2014,8.0,Action
590,132,228756232,Action,Star Trek Into Darkness ,395573,admiral|captain|manhunt|mission|space,1171,USA,PG-13,190000000,2013,7.8,Action
338,114,65171860,Adventure,Jack the Giant Slayer ,106416,bean|giant|king|no opening credits|princess,205,USA,PG-13,195000000,2013,6.3,Action
490,143,144812796,Drama,The Great Gatsby ,362912,ingratitude|mansion|party|title appears in writing|tragedy,753,Australia,PG-13,105000000,2013,7.3,Action
306,116,90755643,Action,Prince of Persia: The Sands of Time ,222403,alamut|dagger|king|persia|princess,453,USA,PG-13,200000000,2010,6.6,Action
575,131,101785482,Action,Pacific Rim ,381148,giant monster|kaiju|pilot|portal|robot,1106,USA,PG-13,190000000,2013,7.0,Action
428,154,352358779,Action,Transformers: Dark of the Moon ,326180,autobot|decepticon|job interview|moon|spacecraft,899,USA,PG-13,195000000,2011,6.3,Action
470,122,317011114,Action,Indiana Jones and the Kingdom of the Crystal Skull ,333847,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2054,USA,PG-13,185000000,2008,6.2,Action
298,93,123070338,Adventure,The Good Dinosaur ,62836,apatosaurus|asteroid|dinosaur|fear|river,345,USA,PG,0,2015,6.8,Action
488,93,237282182,Adventure,Brave ,273556,archery|coming of age|female warrior|princess|rebellious daughter,428,USA,PG,185000000,2012,7.2,Action
322,122,130468626,Action,Star Trek Beyond ,53607,hatred|sequel|space opera|star trek|third part,432,USA,PG-13,185000000,2016,7.5,Action
421,98,223806889,Adventure,WALL·E ,718837,earth|obesity|plant|robot|soil,1043,USA,G,180000000,2008,8.4,Action
162,91,140080850,Action,Rush Hour 3 ,121084,ambassador|assassination|chinese|french|triad,221,USA,PG-13,140000000,2007,6.2,Action
367,158,166112167,Action,2012 ,283418,ark|catastrophe|geologist|president|writer,1055,USA,PG-13,200000000,2009,5.8,Action
240,96,137850096,Animation,A Christmas Carol ,72809,charles dickens|christmas|christmas eve|ghost|scrooge,249,USA,PG,200000000,2009,6.8,Action
384,127,47375327,Action,Jupiter Ascending ,139593,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,720,USA,PG-13,176000000,2015,5.4,Action
248,110,124051759,Action,The Legend of Tarzan ,42372,africa|capture|jungle|male objectification|tarzan,239,USA,PG-13,180000000,2016,6.6,Action
284,150,291709845,Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,hide and seek|lion|magic|professor|snow,1463,USA,PG,180000000,2005,6.9,Action
396,144,154985087,Action,X-Men: Apocalypse ,148379,mutant|superhero|superhero team|x men|year 1983,622,USA,PG-13,178000000,2016,7.3,Action
645,152,533316061,Action,The Dark Knight ,1676169,based on comic book|dc comics|psychopath|star died before release|urban setting,4667,USA,PG-13,185000000,2008,9.0,Action
408,96,292979556,Adventure,Up ,665575,balloon|house|promise|retirement|skeleton,704,USA,PG,175000000,2009,8.3,Action
219,94,198332128,Action,Monsters vs. Aliens ,114553,alien|alien invasion|alien space craft|giant|giantess,187,USA,PG,175000000,2009,6.5,Action
